[I 2026-09-11 12:21:07,189] A new study created in RDB with name: chime_first_svae_opt
[I 2026-09-11 12:28:25,361] Trial 24 finished with value: 0.9263157894736841 and parameters: {'hidden_dim': 1180, 'latent_dim': 20, 'beta': 1.9967291921848922, 'gamma': 0.9398964511411856, 'dropout_rate': 0.2236264700557168, 'lr': 0.007269208173669329, 'scheduler_patience': 4, 'class_weight': 0.7879944684058308, 'activation': 'ELU', 'classification_multiplier': 10787.436096007206}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:28:42,453] Trial 25 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 626, 'latent_dim': 14, 'beta': 1.9674122424858045, 'gamma': 0.3773597171663413, 'dropout_rate': 0.38475445242811873, 'lr': 0.007316464705138327, 'scheduler_patience': 3, 'class_weight': 0.8998444153220809, 'activation': 'SELU', 'classification_multiplier': 10520.162651281007}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:28:59,705] Trial 26 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 863, 'latent_dim': 8, 'beta': 1.5597048298073801, 'gamma': 1.30803454247312, 'dropout_rate': 0.20879981063407058, 'lr': 0.007919673216512647, 'scheduler_patience': 5, 'class_weight': 0.5147269184998997, 'activation': 'ELU', 'classification_multiplier': 8921.015896429164}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:29:17,296] Trial 27 finished with value: 0.9 and parameters: {'hidden_dim': 1104, 'latent_dim': 17, 'beta': 1.7751860125278254, 'gamma': 1.0077663193326623, 'dropout_rate': 0.45693795220993705, 'lr': 0.004750614656182338, 'scheduler_patience': 4, 'class_weight': 0.21632943708969665, 'activation': 'ELU', 'classification_multiplier': 10541.598507936318}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:29:35,909] Trial 28 finished with value: 0.9017543859649123 and parameters: {'hidden_dim': 1789, 'latent_dim': 29, 'beta': 1.3576643128555574, 'gamma': 1.6373882013764756, 'dropout_rate': 0.2943469154398175, 'lr': 0.008896712134108037, 'scheduler_patience': 3, 'class_weight': 0.8075746066183831, 'activation': 'ELU', 'classification_multiplier': 6563.635290620203}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:29:52,977] Trial 29 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 773, 'latent_dim': 24, 'beta': 1.6163505791422095, 'gamma': 0.46076684158122466, 'dropout_rate': 0.17742683745584042, 'lr': 0.003046158441739417, 'scheduler_patience': 6, 'class_weight': 0.687073385648351, 'activation': 'GELU', 'classification_multiplier': 7276.232141722811}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:30:09,864] Trial 30 finished with value: 0.9175438596491228 and parameters: {'hidden_dim': 289, 'latent_dim': 10, 'beta': 1.9960075234226624, 'gamma': 0.7584453492295674, 'dropout_rate': 0.46098338096279934, 'lr': 0.005501614714507046, 'scheduler_patience': 4, 'class_weight': 0.9238632803806099, 'activation': 'SELU', 'classification_multiplier': 10018.719989580663}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:30:27,405] Trial 31 finished with value: 0.9192982456140352 and parameters: {'hidden_dim': 1270, 'latent_dim': 20, 'beta': 0.7171007864349055, 'gamma': 0.9145585607367904, 'dropout_rate': 0.23308593862447122, 'lr': 0.00670660397194541, 'scheduler_patience': 4, 'class_weight': 0.7781144372772552, 'activation': 'ELU', 'classification_multiplier': 11693.286146792228}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:30:44,797] Trial 32 finished with value: 0.9228070175438597 and parameters: {'hidden_dim': 1170, 'latent_dim': 19, 'beta': 0.14710664945997276, 'gamma': 1.0385487307913426, 'dropout_rate': 0.2805224584566971, 'lr': 0.004410021910308145, 'scheduler_patience': 5, 'class_weight': 0.6165339218063878, 'activation': 'ELU', 'classification_multiplier': 12975.742253608236}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:31:02,582] Trial 33 finished with value: 0.9087719298245615 and parameters: {'hidden_dim': 1421, 'latent_dim': 25, 'beta': 1.860738041908587, 'gamma': 0.6054713560561543, 'dropout_rate': 0.25546504612976956, 'lr': 0.005716613723609941, 'scheduler_patience': 4, 'class_weight': 0.60089669537248, 'activation': 'GELU', 'classification_multiplier': 10568.741600192829}. Best is trial 24 with value: 0.9263157894736841.
