,Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference,UMAP_cluster
3323,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190601c_3595.jpg,3595,FRB20190601C,CHIME,,0.0,,400-800,58635.8843542617,181.35,1.35,47.9,424.0656,+0.0061/-0.0061,,,1.32,+0.7/-0.7,5.9,,595.4,423.6,502.2,5.8,+2.5/-2.5,,,,,,,,,,,0.119,+0.038/-0.038,,,https://www.chime-frb.ca/catalog,1
2862,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190323b_3489.jpg,3489,FRB20190323B,CHIME,,0.0,,400-800,58565.3629133231,122.83,39.89,76.8,789.56311,+0.00076/-0.00076,789.527,+0.007/-0.007,6.94,+0.99/-0.99,0.98,,800.2,400.2,586.4,10.6,+1.4/-1.4,,,91.1,+0.5/-0.5,,,229.46,+0.02/-0.02,229.058,+0.003/-0.003,0.134,+0.014/-0.014,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
2867,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20110214a_3102.png,3102,FRB20110214A,Parkes,,0.0,13 beam,1182-1582,55606.301504468,290.73,-66.63,13.0,168.8,+0.5/-0.5,,,27.8,,1.9,+0.9/-0.9,,,,54,2003,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/sty2909,0
2977,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190129a_3389.jpg,3389,FRB20190129A,CHIME,,0.0,,400-800,58512.101129369,158.87,-32.31,18.8,484.761,+0.014/-0.014,,,0.49,+0.3/-0.3,8.85,,800.2,552.8,707.7,5,+3.1/-3.1,,,,,,,,,,,10.2,+2/-2,,,https://www.chime-frb.ca/catalog,1
2894,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190423a_3548.jpg,3548,FRB20190423A,CHIME,,0.0,,400-800,58596.2496989156,138.14,60.29,458.5,242.64562,+0.0006/-0.0006,242.6,+0.008/-0.008,10.8,+1.7/-1.7,5.9,,593,400.2,400.2,55.4,+8.8/-8.8,,,94.9,+0.2/-0.2,,,23.097,+0.006/-0.006,-22.933,+0.007/-0.007,0.5385,+0.0082/-0.0082,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3318,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190601d_3596.jpg,3596,FRB20190601D,CHIME,,0.0,,400-800,58635.871595231,134.05,23.58,11.5,668.47,+0.1/-0.1,,,0.63,+0.36/-0.36,10.81,,800.2,400.2,400.2,5.7,+1.7/-1.7,,,,,,,,,,,<6.1,,,,https://www.chime-frb.ca/catalog,1
3349,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190617a_3624.jpg,3624,FRB20190617A,CHIME,,0.0,,400-800,58651.0920661839,124.73,33.06,156.4,195.7693,+0.0018/-0.0018,195.749,+0.006/-0.006,5.8,+2.7/-2.7,4.92,,673.2,400.2,409.9,21,+9.3/-9.3,,,86.9,+0.2/-0.2,,,-93.089,+0.007/-0.007,94.068,+0.001/-0.001,<1.5,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3229,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190419b_3541.jpg,3541,FRB20190419B,CHIME,,0.0,,400-800,58592.9433455687,119.64,28.6,36.2,165.0752,+0.0047/-0.0047,165.13,+0.01/-0.01,4.6,+2.2/-2.2,1.97,,728.4,400.2,487.6,7.9,+3.5/-3.5,,,23,+1/-1,,,4.1,+0.3/-0.3,-10.63,+0.08/-0.08,0.246,+0.036/-0.036,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",1
3246,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190112a_3359.jpg,3359,FRB20190112A,CHIME,,0.0,,400-800,58495.7370400427,90.49,35.45,66.1,425.8474,+0.0051/-0.0051,,,1.4,+0.64/-0.64,9.83,,800.2,564.6,697.7,16.2,+6.4/-6.4,,,,,,,,,,,11.01,+0.5/-0.5,,,https://www.chime-frb.ca/catalog,1
3409,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190628a_3648.jpg,3648,FRB20190628A,CHIME,,0.0,,400-800,58662.1191026698,113.85,64.94,14.4,745.843,+0.011/-0.011,745.79,+0.008/-0.008,0.81,+0.27/-0.27,0.98,,800.2,400.2,579.1,1.28,+0.32/-0.32,,,93,+6/-6,,,23.6,+0.3/-0.3,23.7,+0.3/-0.3,<0.58,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
6595,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20220330d_6867.png,6867,FRB20220330D,DSA-110,,0.0,,1280-1530,59668.26840931455,134.18,42.93,17.98,467.788,,468.1,+0.8/-0.9,,,8.388608,,,,,,,,,73.2,+17.7/-17.7,3.1,+9/-9,,,-122.2,+4.5/-4.5,,,,,"[https://doi.org/10.25800/y4t1-2771, https://doi.org/10.3847/1538-4357/ad275e]",2
3404,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190627c_3646.jpg,3646,FRB20190627C,CHIME,,0.0,,400-800,58661.307603702,102.22,30.35,57.0,968.6127,+0.0027/-0.0027,968.5,+0.01/-0.01,4,+1.5/-1.5,1.97,,800.2,400.2,400.2,11.3,+4/-4,,,93,+2/-2,,,69.09,+0.06/-0.06,68.47,+0.06/-0.06,0.164,+0.017/-0.017,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3422,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20210630a_3692.png,3692,FRB20210630A,UTMOST,,0.0,,835,59395.53346296,29.9356,23.1882,10.0,943.7,,,,,,29.7,,,,,60.14,,,,,,,,,,,,,,,,https://astronomy.swin.edu.au/research/utmost/?p=2705,0
3216,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181225b_3316.jpg,3316,FRB20181225B,CHIME,,0.0,,400-800,58477.2150558335,123.74,25.48,27.6,299.2875,+0.0049/-0.0049,,,1.9,+1/-1,2.95,,800.2,400.2,560.7,7.5,+3.8/-3.8,,,,,,,,,,,<1.4,,,,https://www.chime-frb.ca/catalog,1
3091,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181223c_3310.jpg,3310,FRB20181223C,CHIME,,0.0,,400-800,58475.580199437,207.75,79.51,28.3,112.5118,+0.0035/-0.0035,,,1.36,+0.51/-0.51,1.97,,800.2,400.2,479.2,2.84,+0.93/-0.93,,,,,,,,,,,0.107,+0.021/-0.021,,,https://www.chime-frb.ca/catalog,1
2969,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181030e_3240.jpg,3240,FRB20181030E,CHIME,,0.0,,400-800,58421.6013,220.25,33.16,37.7,159.6902,+0.0041/-0.0041,,,2,+1.5/-1.5,5.9,,564.8,400.2,470.5,6.3,+3.9/-3.9,,,,,,,,,,,0.973,+0.069/-0.069,,,https://www.chime-frb.ca/catalog,1
3282,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190404b_3515.jpg,3515,FRB20190404B,CHIME,,0.0,,400-800,58577.5222562358,64.63,34.07,175.1,489.42307,+0.00064/-0.00064,,,8.6,+1.7/-1.7,0.98,,725.3,400.2,400.2,16.3,+3.2/-3.2,,,,,,,,,,,0.1111,+0.0028/-0.0028,,,https://www.chime-frb.ca/catalog,1
2888,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190327a_3496.jpg,3496,FRB20190327A,CHIME,,0.0,,400-800,58569.6023013291,63.67,16.06,36.4,346.5748,+0.0023/-0.0023,346.579,+0.007/-0.007,2.43,+0.82/-0.82,1.97,,800.2,400.2,400.2,5.2,+1.6/-1.6,,,48,+1/-1,,,11.2,+0.1/-0.1,11.2,+0.1/-0.1,0.329,+0.032/-0.032,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3026,,3120,FRB20150418A,Parkes,,0.0,13 beam,1182-1582,57130.186867708,232.67,-3.23,39.0,776.2,+0.5/-0.5,,,>2.4,+0.5/-0.4,0.8,+0.3/-0.3,,,,2,+1.2/-0.8,8.0E38,+10/-50,8.5,+1.5/-1.5,<4.5,,36,+52/-52,,,,,,,https://doi.org/10.1038/nature17140,0
7725,,8002,FRB20230216A,DSA-110,,0.0,,1280-1530,59991.35650471858,242.6,46.33,11.7547,828.289,,,,,,2.097152,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.25800/jsm1-8876,0
2839,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180907d_3188.jpg,3188,FRB20180907D,CHIME,,0.0,,400-800,58368.2537203214,122.33,26.57,13.8,1447.098,+0.013/-0.013,,,0.89,+0.6/-0.6,5.9,,800.2,400.2,800.2,4.9,+2.3/-2.3,,,,,,,,,,,<2.7,,,,https://www.chime-frb.ca/catalog,1
3129,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190402a_3506.jpg,3506,FRB20190402A,CHIME,,0.0,,400-800,58575.298344961,148.44,67.11,11.5,1291.69,+0.082/-0.082,,,0.3,+0.17/-0.17,15.73,,657.4,400.2,453.3,1.34,+0.52/-0.52,,,,,,,,,,,<6.6,,,,https://www.chime-frb.ca/catalog,1
3301,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190125a_3382.jpg,3382,FRB20190125A,CHIME,,0.0,,400-800,58508.113920133,155.42,-26.64,12.8,564.701,+0.027/-0.027,,,0.37,+0.25/-0.25,13.76,,800.2,510.1,655.5,2.6,+1.2/-1.2,,,,,,,,,,,<4.1,,,,https://www.chime-frb.ca/catalog,1
3412,,3685,FRB20200917A,CHIME,,0.0,,400-800,59109.21082984,110.11,19.12,29.93,883.15,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wis-tns.org/object/20200917a,1
2898,,3103,FRB20110220A,Parkes,,0.0,13 beam,1182-1582,55612.075470405,50.69,-54.63,49.0,944.38,+0.05/-0.05,,,1.3,,5.6,+0.1/-0.1,1582,1182,1382,8,,,,,,,,,,,,,,,,https://doi.org/10.1126/science.1236789,1
5327,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010823a_5588.png,5588,FRB20010823A,Parkes,,0.0,13 beam,1230-1518,52144.14770023,246.2259,46.339,7.2,114.8,,,,,,6.58,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3313,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190502a_3564.jpg,3564,FRB20190502A,CHIME,,0.0,,400-800,58605.1827646352,145.3,52.07,75.8,625.7691,+0.0047/-0.0047,,,3.18,+0.66/-0.66,3.93,,800.2,400.2,400.2,11.5,+2.3/-2.3,,,,,,,,,,,0.995,+0.048/-0.048,,,https://www.chime-frb.ca/catalog,1
7722,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20221203a_7999.png,7999,FRB20221203A,DSA-110,,0.0,,1280-1530,59916.00175089585,106.58,16.6,223.712,602.715,,,,,,0.524288,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.25800/v0me-yp06,0
3136,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20170707a_3139.png,3139,FRB20170707A,ASKAP,,0.0,PAF,1152-1488,57941.262631421,269.1,-50.5,9.5,235.2,+0.6/-0.6,,,14.8,,3.5,+0.5/-0.5,,,,52,+3/-3,,,,,,,,,,,,,,,https://doi.org/10.1038/s41586-018-0588-y,0
2938,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181118a_3251.jpg,3251,FRB20181118A,CHIME,,0.0,,400-800,58440.2336201206,144.0,-68.0,13.9,557.4068,+0.0083/-0.0083,,,4.3,+2.4/-2.4,3.93,,800.2,400.2,630.1,10,+5/-5,,,,,,,,,,,<1.5,,,,https://www.chime-frb.ca/catalog,1
5380,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb19990514b_5641.png,5641,FRB19990514B,Parkes,,0.0,13 beam,,51312.81360336,37.9275,-5.44,7.2,279.8,,,,,,8.93,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3421,,3684,FRB20200915A,MeerKAT,,0.0,L-band,1284,59107.105051,169.34,-47.26,31.0,740.6,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1450,0
3056,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20170107a_3135.png,3135,FRB20170107A,ASKAP,,0.0,CRAFT,1152-1488,57760.837328006,266.05,51.42,4.0,609.5,+0.5/-0.5,,,,,2.6,,,,,58,+6/-6,,,,,,,,,,,<2,,,,https://doi.org/10.3847/2041-8213/aa71ff,0
6605,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20220914a_6877.png,6877,FRB20220914A,DSA-110,,0.0,,1280-1530,59836.14596611509,104.31,26.13,17.43,630.703,,631.05,+0.02/-0.02,,,0.524288,,,,,,,,,16.3,+14/-14,11.9,+11.9/-11.9,,,,,,,,,"[https://doi.org/10.25800/5t61-7z27, https://doi.org/10.3847/1538-4357/ad275e]",2
3109,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20171004a_3145.png,3145,FRB20171004A,ASKAP,,0.0,PAF,1152-1488,58030.141854747,282.2,48.9,10.9,304.0,+0.3/-0.3,,,22,,2,+0.3/-0.3,,,,44,+2/-2,,,,,,,,,,,,,,,https://doi.org/10.1038/s41586-018-0588-y,0
6578,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20210408h_6850.png,6850,FRB20210408H,MeerKAT,,0.0,L-band,856-1712,59312.895193659,315.05,33.51,14.7,1195.95,+1.5/-1.5,,,>0.063,,6.4,+0.9/-0.9,,,,>0.4,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stad2041,0
3338,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190618a_3627.jpg,3627,FRB20190618A,CHIME,,0.0,,400-800,58652.4875756588,74.96,-17.65,52.5,228.9469,+0.0032/-0.0032,228.92,+0.006/-0.006,2.4,+1/-1,1.97,,540.4,400.2,419.3,4.3,+1.7/-1.7,,,55,+0.6/-0.6,,,-61.09,+0.05/-0.05,62.958,+0.001/-0.001,<0.58,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
2923,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190409a_3519.jpg,3519,FRB20190409A,CHIME,,0.0,,400-800,58582.006391761,195.66,-17.27,19.7,1791.8908,+0.0053/-0.0053,,,3,+1.1/-1.1,2.95,,800.2,400.2,524.7,8.7,+2.8/-2.8,,,,,,,,,,,1.71,+0.26/-0.26,,,https://www.chime-frb.ca/catalog,1
