,Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference,UMAP_cluster
3110,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180309a_3159.png,3159,FRB20180309A,Parkes,,0.0,13 beam,1182-1582,58186.114072391,10.9,-45.4,411.0,263.42,+0.01/-0.01,,,27.6,,0.475,,,,,>13.12,+0.26/-0.26,,,45.56,+0.06/-0.06,24.33,+0.05/-0.05,<150,,,,0.086,+0.0006/-0.0008,,,https://doi.org/10.1093/mnras/stz1751,2
7736,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20240119a_8013.png,8013,FRB20240119A,DSA-110,,0.0,,1280-1530,60328.60501729543,112.37,43.24,8.90289,483.626,,,,,,2.097152,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.25800/nppv-m251,0
2934,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180911a_3192.jpg,3192,FRB20180911A,CHIME,,0.0,,400-800,58372.6251813042,128.95,26.69,26.8,221.254,+0.012/-0.012,,,1.6,+1.2/-1.2,1.97,,599.9,400.2,400.2,2.6,+1.9/-1.9,,,,,,,,,,,<0.94,,,,https://www.chime-frb.ca/catalog,1
3009,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190130a_3390.jpg,3390,FRB20190130A,CHIME,,0.0,,400-800,58513.044465485,141.65,-47.84,12.6,1367.461,+0.05/-0.05,,,0.47,+0.32/-0.32,14.75,,567.2,400.2,467.7,4.4,+1.8/-1.8,,,,,,,,,,,3.2,+0.98/-0.98,,,https://www.chime-frb.ca/catalog,1
6586,,6858,FRB20211203C,ASKAP,,0.0,CRAFT,752.5-1088.5,59551.098327176,314.43,30.47,14.2,636.2,+0.4/-0.4,,,,,,,,,,28,+2/-2,,,,,,,,,,,,,,,https://www.wis-tns.org/object/20211203c,0
5344,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010703c_5605.png,5605,FRB20010703C,Parkes,,0.0,13 beam,1230-1518,52093.27332928,314.1499,15.5221,7.1,256.5,,,,,,7.53,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
6591,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20220208a_6863.png,6863,FRB20220208A,DSA-110,,0.0,,1280-1530,59618.82962506811,107.62,15.36,10.7,440.73,,437.0,+0.6/-0.6,,,4.194304,,,,,,,,,114.3,+29.1/-29.1,-11.2,+15.5/-15.5,,,-23.3,+9.7/-9.7,,,,,"[https://doi.org/10.25800/4xg5-8147, https://doi.org/10.3847/1538-4357/ad275e]",2
2848,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181230b_3329.jpg,3329,FRB20181230B,CHIME,,0.0,,400-800,58482.110444699,124.42,16.92,17.6,1137.36,+0.047/-0.047,,,0.88,+0.53/-0.53,10.81,,800.2,400.2,450.2,9.7,+4.8/-4.8,,,,,,,,,,,4.5,+1.4/-1.4,,,https://www.chime-frb.ca/catalog,1
5374,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb19990511a_5635.png,5635,FRB19990511A,Parkes,,0.0,13 beam,,51309.8357537,355.7999,-12.8951,7.2,169.6,,,,,,4.23,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
2973,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181203b_3280.jpg,3280,FRB20181203B,CHIME,,0.0,,400-800,58455.2660577141,159.14,-29.0,35.4,375.3871,+0.0041/-0.0041,,,1.45,+0.59/-0.59,3.93,,800.2,550.8,693.2,4.5,+1.5/-1.5,,,,,,,,,,,2.32,+0.33/-0.33,,,https://www.chime-frb.ca/catalog,1
3070,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190304b_3463.jpg,3463,FRB20190304B,CHIME,,0.0,,400-800,58546.4533443794,20.4,78.8,28.8,470.0053,+0.0057/-0.0057,469.9,+0.02/-0.02,0.67,+0.26/-0.26,2.95,,646.5,400.2,400.2,2.22,+0.59/-0.59,,,103,+5/-5,,,39.5,+0.2/-0.2,-39.0,+0.1/-0.1,0.622,+0.058/-0.058,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
2883,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190221c_3436.jpg,3436,FRB20190221C,CHIME,,0.0,,400-800,58535.7915530298,93.9,5.14,26.4,2042.3,+0.012/-0.012,,,0.59,+0.22/-0.22,14.75,,800.2,454.9,664.9,7.1,+1.6/-1.6,,,,,,,,,,,13.1,+2.3/-2.3,,,https://www.chime-frb.ca/catalog,1
5351,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20000521a_5612.png,5612,FRB20000521A,Parkes,,0.0,13 beam,1230-1518,51685.37513275,316.3317,-4.0225,7.9,473.3,,,,,,11.09,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3222,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190131c_3393.jpg,3393,FRB20190131C,CHIME,,0.0,,400-800,58514.4320548204,241.74,60.05,21.7,507.7618,+0.0027/-0.0027,,,0.84,+0.66/-0.66,0.98,,800.2,400.2,501.4,2.1,+1.6/-1.6,,,,,,,,,,,<0.5,,,,https://www.chime-frb.ca/catalog,1
2995,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181123a_3259.jpg,3259,FRB20181123A,CHIME,,0.0,,400-800,58445.9940573556,89.71,12.94,19.7,798.718,+0.018/-0.018,,,0.99,+0.49/-0.49,1.97,,590.2,404.2,488.5,2.5,+1.1/-1.1,,,,,,,,,,,1.92,+0.54/-0.54,,,https://www.chime-frb.ca/catalog,1
3046,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190320c_3481.jpg,3481,FRB20190320C,CHIME,,0.0,,400-800,58562.5477839472,42.68,34.17,12.9,368.7898,+0.0094/-0.0094,,,1.24,+0.3/-0.3,3.93,,800.2,400.2,442,3.14,+0.65/-0.65,,,,,,,,,,,<1.3,,,,https://www.chime-frb.ca/catalog,1
5325,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010621b_5586.png,5586,FRB20010621B,Parkes,,0.0,13 beam,1230-1518,52081.33669016,252.4855,31.8966,7.5,163.5,,,,,,5.54,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
2999,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181203c_3281.jpg,3281,FRB20181203C,CHIME,,0.0,,400-800,58455.67762746,120.64,44.09,22.5,2444.57,+0.024/-0.024,,,1.05,+0.63/-0.63,11.8,,800.2,400.2,400.2,4.8,+2.8/-2.8,,,,,,,,,,,0.97,+0.22/-0.22,,,https://www.chime-frb.ca/catalog,1
3092,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181226e_3320.jpg,3320,FRB20181226E,CHIME,,0.0,,400-800,58478.9101627482,106.6,20.42,20.9,308.762,+0.015/-0.015,308.78,+0.01/-0.01,0.48,+0.42/-0.42,2.95,,558.3,400.2,400.2,1.35,+0.77/-0.77,,,57,+2/-2,,,-1,+0.2/-0.2,-0.2,+0.2/-0.2,<1.3,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
6604,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20220831a_6876.png,6876,FRB20220831A,DSA-110,,0.0,,1280-1530,59822.31071818924,110.96,12.47,21.28,1146.14,,1146.25,+0.2/-0.2,,,2.097152,,,,,,,,,84.6,+12.8/-12.8,1.7,+5.3/-5.3,,,772.1,+7.2/-7.2,,,,,"[https://doi.org/10.25800/cnw8-4n46, https://doi.org/10.3847/1538-4357/ad275e]",2
3411,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20191223b_3672.png,3672,FRB20191223B,UTMOST,,0.0,,835,58840.20522222,318.854,-32.661,29.4,665.0,,,,,,,,,,,108.1,,,,,,,,,,,,,,,,https://astronomy.swin.edu.au/research/utmost/?p=1847,0
2907,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181118b_3252.jpg,3252,FRB20181118B,CHIME,,0.0,,400-800,58440.3356682603,178.42,-31.89,19.5,422.2771,+0.0089/-0.0089,,,0.78,+0.53/-0.53,3.93,,800.2,400.2,534.8,3.2,+1.9/-1.9,,,,,,,,,,,<1.8,,,,https://www.chime-frb.ca/catalog,1
3322,,3664,FRB20191001A,ASKAP,,0.0,,,58757.70527743,341.3,-44.8,62.0,506.92,0.04,,,,,,,,,,143,15,,,,,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ATel13166....1S/abstract,0
2856,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190224d_3446.jpg,3446,FRB20190224D,CHIME,,0.0,,400-800,58538.3237324097,122.24,26.41,41.9,752.9522,+0.0019/-0.0019,752.892,+0.006/-0.006,2.75,+0.95/-0.95,1.97,,800.2,400.2,531.6,6.1,+2/-2,,,81,+2/-2,,,-42.49,+0.09/-0.09,-41.86,+0.09/-0.09,<0.72,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
