Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20190530A,CHIME,No,04:34:57.6,0.025,+60:35:24.0,0.2,147.22,8.75,555.445,139.245,202.345,https://www.chime-frb.ca/catalog
FRB20190603B,CHIME,No,03:15:28.8,0.22,+74:16:48.0,0.41,132.39,14.12,504.317,100.317,132.017,https://www.chime-frb.ca/catalog
FRB20190609A,CHIME,No,23:01:12.0,0.28,+87:56:24.0,0.33,121.88,25.3,316.6434,58.4434,57.1434,https://www.chime-frb.ca/catalog
FRB20190617A,CHIME,No,11:54:24.0,0.2,+83:52:12.0,0.095,124.73,33.06,195.7693,46.6693,40.6693,https://www.chime-frb.ca/catalog
FRB20190619B,CHIME,No,15:26:57.6,0.2,+82:09:00.0,0.23,117.06,33.12,270.5868,45.8868,39.9868,https://www.chime-frb.ca/catalog
FRB20190625A,CHIME,No,15:11:38.4,0.11,+32:52:48.0,0.19,52.31,59.25,302.14,23.14,23.34,https://www.chime-frb.ca/catalog
FRB20190628A,CHIME,No,13:16:14.4,0.22,+51:45:00.0,0.22,113.85,64.94,745.843,29.843,21.843,https://www.chime-frb.ca/catalog
FRB20190701E,CHIME,No,09:14:16.8,0.19,+61:42:36.0,0.036,153.27,40.37,890.4771,42.3771,33.4771,https://www.chime-frb.ca/catalog
FRB20190709A,WSRT,No,01:39:19.0,0.08,+32:03:13.0,0.08,133.89,-30.06,663.1,52,45,https://doi.org/10.1051/0004-6361/202244107
FRB20191108A,WSRT,No,01:33:47.0,0.08,+31:51:30.0,6.9e-4,133.33,-30.16,588.1,52,43,https://doi.org/10.1051/0004-6361/202244107
FRB20180417A,ASKAP,No,12:24:56.0,0.008,14:13:00.0,0.47,276.0,75.6,474.8,26.15,20.39,https://doi.org/10.1093/mnras/stz2574
FRB20180528A,UTMOST,No,06:38:49.8,0.0835,-49:53:59.0,4,258.87,-22.35,899.3,70,,https://doi.org/10.1093/mnras/stz1748
FRB20180806A,CHIME,No,15:14:14.4,0.071,+75:37:12.0,0.39,112.27,38.4,739.9482,40.6482,33.9482,https://www.chime-frb.ca/catalog
FRB20180814B,CHIME,No,15:53:02.4,0.042,+74:01:12.0,0.38,108.6,37.62,238.3474,41.1474,34.5474,https://www.chime-frb.ca/catalog
FRB20180817A,CHIME,No,15:32:48.0,0.042,+42:12:00.0,0.38,68.3,53.98,1006.7714,27.6714,24.7714,https://www.chime-frb.ca/catalog
FRB20180906A,CHIME,No,09:25:55.2,0.17,+14:17:24.0,0.12,217.17,40.61,383.456,43.456,36.956,https://www.chime-frb.ca/catalog
FRB20181104C,CHIME,No,05:08:12.0,0.14,+17:26:24.0,0.15,184.96,-13.47,580.81762,105.31762,151.11762,https://www.chime-frb.ca/catalog
FRB20181218B,CHIME,No,01:12:09.6,0.24,+69:23:24.0,0.25,124.77,6.59,753.405,169.605,276.305,https://www.chime-frb.ca/catalog
FRB20181222B,CHIME,No,06:00:09.6,0.23,+38:33:00.0,0.075,173.2,7.45,619.2478,148.2478,210.7478,https://www.chime-frb.ca/catalog
FRB20181224D,CHIME,No,12:09:48.0,0.2,+54:51:00.0,0.21,135.42,61.26,690.196,31.396,22.296,https://www.chime-frb.ca/catalog
FRB20190116D,CHIME,No,05:40:24.0,0.22,+68:40:48.0,0.23,144.42,19.03,1164.025,78.525,92.025,https://www.chime-frb.ca/catalog
FRB20190118B,CHIME,No,02:38:50.4,0.25,+23:34:12.0,0.27,152.53,-33.06,670.89,50.19,43.59,https://www.chime-frb.ca/catalog
FRB20190124D,CHIME,No,15:49:02.4,0.24,+81:13:48.0,0.29,115.61,33.2,340.12,45.62,39.82,https://www.chime-frb.ca/catalog
FRB20190125B,CHIME,No,15:25:48.0,0.25,+50:32:24.0,0.23,82.22,52.58,178.238,33.238,25.338,https://www.chime-frb.ca/catalog
FRB20190218C,CHIME,No,10:27:50.4,0.13,+77:57:00.0,0.11,131.7,36.62,319.32387,43.72387,36.52387,https://www.chime-frb.ca/catalog
FRB20190317B,CHIME,No,06:44:02.4,0.07,+49:43:48.0,0.2,166.11,19.23,424.314,80.614,97.814,https://www.chime-frb.ca/catalog
FRB20190322B,CHIME,No,08:48:07.2,0.24,+73:20:24.0,0.26,140.54,34.14,576.982,46.982,40.582,https://www.chime-frb.ca/catalog
