Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20181226E,CHIME,No,20:14:14.4,0.21,+73:38:24.0,0.22,106.6,20.42,308.762,68.862,71.262,https://www.chime-frb.ca/catalog
FRB20181230E,CHIME,No,07:33:02.4,0.2,+86:51:00.0,0.087,126.43,27.65,1041.713,54.513,51.613,https://www.chime-frb.ca/catalog
FRB20190124F,CHIME,No,22:35:40.8,0.16,+05:18:00.0,0.027,72.47,-43.87,254.7903,37.5903,28.9903,https://www.chime-frb.ca/catalog
FRB20190212C,CHIME,No,11:30:16.8,0.17,+28:08:24.0,0.047,205.0,72.02,1016.45,22.35,18.55,https://www.chime-frb.ca/catalog
FRB20190213D,CHIME,No,22:25:48.0,0.021,+52:42:36.0,0.14,101.8,-4.08,1346.8476,234.5476,248.9476,https://www.chime-frb.ca/catalog
FRB20190219A,CHIME,No,07:03:07.2,0.042,+43:07:48.0,0.16,173.87,20.17,657.1942,78.7942,95.0942,https://www.chime-frb.ca/catalog
FRB20190301D,CHIME,No,18:34:52.8,0.22,+74:40:48.0,0.093,105.7,27.18,1160.692,53.092,48.992,https://www.chime-frb.ca/catalog
FRB20190303C,CHIME,No,11:32:57.6,0.2,+26:19:12.0,0.21,211.1,72.48,1089.655,23.055,19.155,https://www.chime-frb.ca/catalog
FRB20190303D,CHIME,Yes,11:58:16.8,0.25,+70:50:24.0,0.26,129.13,45.64,711.151,37.051,28.851,https://www.chime-frb.ca/catalog
FRB20190304A,CHIME,No,08:18:02.4,0.036,+74:36:36.0,0.21,139.8,31.79,483.727,49.827,44.527,https://www.chime-frb.ca/catalog
FRB20190307A,CHIME,No,16:58:12.0,0.21,+09:51:00.0,0.27,28.92,29.59,355.337,58.037,45.737,https://www.chime-frb.ca/catalog
FRB20190329A,CHIME,No,04:22:09.6,0.19,+73:37:48.0,0.27,136.46,16.58,188.606,87.806,108.406,https://www.chime-frb.ca/catalog
FRB20190403B,CHIME,No,09:01:52.8,0.18,+01:27:36.0,0.09,227.76,29.41,292.473,-172.127,47.973,https://www.chime-frb.ca/catalog
FRB20190419A,CHIME,No,06:59:55.2,0.21,+64:52:48.0,0.071,150.91,25.27,439.972,62.272,63.672,https://www.chime-frb.ca/catalog
FRB20190420A,CHIME,No,07:06:12.0,0.2,+55:57:36.0,0.21,160.7,24.2,609.0998,65.6998,70.3998,https://www.chime-frb.ca/catalog
FRB20190423A,CHIME,No,11:58:43.2,0.18,+55:15:00.0,0.16,138.14,60.29,242.64562,31.64562,22.44562,https://www.chime-frb.ca/catalog
FRB20190429B,CHIME,No,21:59:43.2,0.24,+03:57:36.0,0.33,63.07,-38.21,295.65,42.15,32.55,https://www.chime-frb.ca/catalog
FRB20190523A,DSA-110,No,13:48:15.6,5.6e-4,+72:28:11.0,0.03,117.03,44.0,760.8,37,,https://doi.org/10.1038/s41586-019-1389-7
FRB20190531E,CHIME,No,01:00:48.0,0.26,+00:32:24.0,0.37,127.96,-62.24,328.2034,32.0034,22.6034,https://www.chime-frb.ca/catalog
FRB20190608B,ASKAP,No,22:16:04.77,5.6e-6,-07:53:53.7,8.3e-5,53.2088,-48.5296,338.7,37.2,,"[https://doi.org/10.1038/s41586-020-2300-2, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20190609C,CHIME,Yes,04:52:40.8,0.23,+24:03:36.0,0.25,177.28,-12.51,480.282,112.682,152.282,https://www.chime-frb.ca/catalog
FRB20190614B,CHIME,No,22:11:26.4,0.033,+24:41:24.0,0.05,82.65,-25.4,581.9146,54.9146,46.9146,https://www.chime-frb.ca/catalog
FRB20190617B,CHIME,No,03:45:43.2,0.02,+01:09:36.0,0.27,186.12,-39.45,273.51,43.81,48.51,https://www.chime-frb.ca/catalog
FRB20190624B,CHIME,No,20:18:36.0,0.068,+73:36:36.0,0.2,106.73,20.13,213.9222,69.7222,72.7222,https://www.chime-frb.ca/catalog
FRB20190627C,CHIME,No,17:51:31.2,0.078,+71:34:48.0,0.16,102.22,30.35,968.6127,48.0127,42.8127,https://www.chime-frb.ca/catalog
FRB20190701B,CHIME,No,20:11:43.2,0.22,+80:10:48.0,0.24,112.88,23.4,749.114,61.514,61.014,https://www.chime-frb.ca/catalog
FRB20191109A,WSRT,No,20:35:15.0,0.08,+61:49:02.0,0.08,97.01,12.7,531.2,108,108,https://doi.org/10.1051/0004-6361/202244107
FRB20180729A,CHIME,No,13:17:36.0,0.12,+55:34:48.0,0.084,115.26,61.16,109.59418,30.79418,22.79418,https://www.chime-frb.ca/catalog
FRB20180907B,CHIME,No,00:17:57.6,0.22,+19:10:12.0,0.24,112.1,-43.0,658.1899,38.0899,29.8899,https://www.chime-frb.ca/catalog
FRB20181020A,CHIME,No,21:30:28.8,0.22,+78:49:48.0,0.25,113.83,19.7,1112.473,72.173,79.173,https://www.chime-frb.ca/catalog
FRB20181118B,CHIME,No,03:53:07.2,0.19,+10:47:24.0,0.26,178.42,-31.89,422.2771,53.0771,57.7771,https://www.chime-frb.ca/catalog
FRB20181214B,CHIME,No,09:15:09.6,0.22,+42:09:00.0,0.077,179.33,43.88,1120.746,42.046,30.546,https://www.chime-frb.ca/catalog
FRB20190103B,CHIME,No,06:14:16.8,0.026,+19:43:48.0,0.21,191.23,1.07,541.129,187.129,292.429,https://www.chime-frb.ca/catalog
FRB20190115A,CHIME,No,03:02:26.4,0.22,+54:16:48.0,0.23,141.39,-3.83,1021.684,186.384,237.384,https://www.chime-frb.ca/catalog
FRB20171216A,ASKAP,No,03:28:00.0,0.02,-57:04:00.0,0.17,273.9,-48.4,203.1,37,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180128A,ASKAP,No,13:56:00.0,0.02,-06:43:00.0,0.33,326.7,52.2,441.4,32,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180131A,ASKAP,No,21:49:54.0,0.13,-40:41:00.0,0.13,0.6,-50.7,657.7,40,,https://doi.org/10.1038/s41586-018-0588-y
FRB20190122B,CHIME,No,00:10:07.2,0.25,+35:07:12.0,0.25,113.46,-26.99,469.565,54.465,46.065,https://www.chime-frb.ca/catalog
FRB20190122C,CHIME,No,13:22:24.0,0.072,+17:34:12.0,0.16,341.32,78.07,689.902,24.402,20.302,https://www.chime-frb.ca/catalog
FRB20180321A,Pushchino,No,00:33:00.0,,+42:01:48.0,,119.46,-20.72,596,70,,https://doi.org/10.1134/S1063772919110039
FRB20180730A,CHIME,No,03:49:33.6,0.032,+87:11:24.0,0.2,125.11,25.11,848.9041,59.2041,58.4041,https://www.chime-frb.ca/catalog
FRB20180907A,CHIME,No,21:23:28.8,0.23,+29:27:36.0,0.22,77.77,-14.65,877.24,92.04,75.44,https://www.chime-frb.ca/catalog
FRB20190128D,CHIME,No,18:53:16.8,0.06,+17:26:24.0,0.27,48.75,7.46,430.231,232.831,207.331,https://www.chime-frb.ca/catalog
FRB20180907C,CHIME,No,02:46:52.8,0.23,+77:04:12.0,0.26,129.37,15.66,638.1999,91.3999,115.2999,https://www.chime-frb.ca/catalog
FRB20180917B,CHIME,No,15:55:12.0,0.19,+77:31:48.0,0.1,111.96,35.37,857.038,43.138,36.938,https://www.chime-frb.ca/catalog
FRB20190131C,CHIME,No,11:05:48.0,0.22,+10:25:48.0,0.27,241.74,60.05,507.7618,32.9618,22.8618,https://www.chime-frb.ca/catalog
FRB20180919B,CHIME,No,00:21:21.6,0.19,+05:56:24.0,0.087,109.42,-56.14,560.2214,32.8214,24.2214,https://www.chime-frb.ca/catalog
FRB20180920A,CHIME,No,05:15:33.6,0.21,+28:17:24.0,0.23,176.92,-5.87,555.66,160.76,230.76,https://www.chime-frb.ca/catalog
FRB20190201B,CHIME,No,07:52:48.0,0.19,+55:34:48.0,0.19,162.23,30.61,749.176,54.176,51.176,https://www.chime-frb.ca/catalog
FRB20180925B,CHIME,No,09:41:48.0,0.21,+20:59:24.0,0.089,210.38,46.52,667.866,39.666,30.466,https://www.chime-frb.ca/catalog
FRB20181025A,CHIME,No,07:03:07.2,0.2,+64:15:00.0,0.2,151.66,25.49,592.5644,61.6644,63.0644,https://www.chime-frb.ca/catalog
FRB20190208B,CHIME,No,06:04:00.0,0.13,+80:52:48.0,0.035,132.78,24.91,714.22009,60.62009,60.92009,https://www.chime-frb.ca/catalog
FRB20190214A,CHIME,No,06:24:21.6,0.23,+66:14:24.0,0.23,148.5,22.03,497.68,69.78,76.48,https://www.chime-frb.ca/catalog
FRB20190217B,CHIME,No,01:30:19.2,0.22,+26:57:00.0,0.24,133.54,-35.12,846.212,45.812,37.012,https://www.chime-frb.ca/catalog
FRB20190221D,CHIME,No,01:39:14.4,0.24,+60:55:48.0,0.24,128.71,-1.4,473.7873,189.5873,290.4873,https://www.chime-frb.ca/catalog
FRB20181030C,CHIME,No,20:39:19.2,0.22,+03:59:24.0,0.3,49.72,-21.77,668.7601,73.0601,58.7601,https://www.chime-frb.ca/catalog
FRB20181118A,CHIME,No,01:22:36.0,0.23,-06:24:36.0,0.4,144.0,-68.0,557.4068,31.5068,21.4068,https://www.chime-frb.ca/catalog
FRB20181228C,CHIME,No,17:40:45.6,0.23,+54:21:36.0,0.23,82.11,31.87,510.7,45.6,38.9,https://www.chime-frb.ca/catalog
FRB20190110A,CHIME,No,04:19:48.0,0.033,+47:26:24.0,0.086,155.2,-1.95,472.7526,188.5526,266.1526,https://www.chime-frb.ca/catalog
FRB20190224D,CHIME,No,22:07:33.6,0.2,+89:03:00.0,0.23,122.24,26.41,752.9522,56.2522,54.0522,https://www.chime-frb.ca/catalog
FRB20190114A,CHIME,No,00:35:48.0,0.23,+19:10:12.0,0.26,117.83,-43.55,887.392,38.092,29.592,https://www.chime-frb.ca/catalog
FRB20190124E,CHIME,No,19:51:00.0,0.21,+20:34:12.0,0.24,57.96,-3.09,617.79,391.99,304.49,https://www.chime-frb.ca/catalog
FRB20190309A,CHIME,No,18:35:50.4,0.23,+52:24:36.0,0.24,81.37,23.47,356.9,58.6,53,https://www.chime-frb.ca/catalog
FRB20190202A,CHIME,No,22:56:48.0,0.025,+17:06:00.0,0.026,87.49,-37.76,307.3605,40.7605,33.1605,https://www.chime-frb.ca/catalog
FRB20190203B,CHIME,No,08:42:33.6,0.23,+61:53:24.0,0.25,154.26,36.7,582.2248,45.8248,38.2248,https://www.chime-frb.ca/catalog
FRB20190313B,CHIME,No,06:47:55.2,0.18,+74:07:48.0,0.21,140.61,25.78,1191.248,59.848,59.648,https://www.chime-frb.ca/catalog
FRB20190318A,CHIME,No,21:36:26.4,0.11,+74:27:36.0,0.18,110.81,16.39,419.2661,85.3661,100.3661,https://www.chime-frb.ca/catalog
FRB20190205A,CHIME,No,22:48:52.8,0.25,+83:22:12.0,0.3,119.31,21.38,695.389,67.689,71.589,https://www.chime-frb.ca/catalog
FRB20190211B,CHIME,No,19:58:28.8,0.22,+61:22:12.0,0.22,94.41,16.1,260.7,84.5,90.9,https://www.chime-frb.ca/catalog
FRB20190302A,CHIME,No,02:19:12.0,0.19,+61:20:24.0,0.19,133.26,0.24,1034.239,220.739,312.239,https://www.chime-frb.ca/catalog
FRB20190330A,CHIME,No,13:36:21.6,0.22,+38:21:36.0,0.087,85.79,75.35,508.965,24.865,20.365,https://www.chime-frb.ca/catalog
FRB20190330B,CHIME,No,17:57:38.4,0.037,+52:48:36.0,0.14,80.58,29.23,668.0927,48.8927,42.0927,https://www.chime-frb.ca/catalog
FRB20190307B,CHIME,No,17:56:48.0,0.064,+38:24:00.0,0.22,64.53,26.61,294.001,54.901,45.101,https://www.chime-frb.ca/catalog
FRB20190322D,UTMOST,No,04:46:14.5,0.001,-66:55:27.8,1.2,278.166,-36.921,724.2,47.1,46.78,https://astronomy.swin.edu.au/research/utmost/?page_id=1583
FRB20190604E,CHIME,No,15:42:21.6,0.21,+32:03:36.0,0.21,51.08,52.76,1218.5965,25.9965,25.1965,https://www.chime-frb.ca/catalog
FRB20190609B,CHIME,No,14:01:57.6,0.15,+88:21:00.0,0.067,122.36,28.7,292.1875,52.2875,48.2875,https://www.chime-frb.ca/catalog
FRB20190614C,CHIME,No,23:46:00.0,0.23,+35:54:36.0,0.23,108.34,-25.1,589.163,57.463,48.963,https://www.chime-frb.ca/catalog
FRB20190328B,CHIME,No,13:17:52.8,0.28,+86:51:00.0,0.31,122.51,30.26,565.001,50.101,45.101,https://www.chime-frb.ca/catalog
FRB20190408A,CHIME,No,17:28:48.0,0.23,+71:36:00.0,0.26,102.52,32.13,863.3796,45.9796,40.2796,https://www.chime-frb.ca/catalog
FRB20190409D,CHIME,No,22:26:33.6,0.23,+26:57:00.0,0.21,87.17,-25.68,1300.118,54.718,46.618,https://www.chime-frb.ca/catalog
FRB20190411A,CHIME,No,05:20:00.0,0.27,+83:53:24.0,0.3,129.13,24.62,460.5552,60.7552,61.0552,https://www.chime-frb.ca/catalog
FRB20190623A,CHIME,No,18:01:55.2,0.23,+24:31:12.0,0.26,50.44,21.27,1082.201,74.201,59.701,https://www.chime-frb.ca/catalog
FRB20190627A,CHIME,No,13:03:33.6,0.24,+00:45:00.0,0.37,309.73,63.46,404.2213,30.3213,22.5213,https://www.chime-frb.ca/catalog
FRB20190415C,CHIME,No,04:59:14.4,0.23,+34:48:00.0,0.25,169.59,-4.78,650.182,168.482,236.382,https://www.chime-frb.ca/catalog
FRB20190423C,CHIME,No,23:16:19.2,0.2,+86:58:12.0,0.084,121.59,24.35,855.5273,60.4273,60.1273,https://www.chime-frb.ca/catalog
FRB20190518C,CHIME,No,16:08:02.4,0.071,+04:38:24.0,0.21,16.3,38.1,444.0795,41.6795,35.8795,https://www.chime-frb.ca/catalog
FRB20190604D,CHIME,No,13:19:43.2,0.2,+15:43:48.0,0.24,334.31,76.85,1021.169,24.769,20.369,https://www.chime-frb.ca/catalog
FRB20190609D,CHIME,No,07:43:45.6,0.041,+51:41:24.0,0.18,166.52,28.86,511.714,57.514,57.414,https://www.chime-frb.ca/catalog
FRB20190621D,CHIME,No,18:02:31.2,0.016,+78:53:24.0,0.17,110.51,28.93,647.514,50.714,46.114,https://www.chime-frb.ca/catalog
FRB20190701A,CHIME,No,18:29:52.8,0.21,+59:02:24.0,0.22,88.29,25.72,637.0934,54.2934,49.2934,https://www.chime-frb.ca/catalog
FRB20180910A,CHIME,Yes,23:31:04.8,0.18,+88:12:36.0,0.21,122.25,25.45,684.4081,58.1081,56.7081,https://www.chime-frb.ca/catalog
FRB20180916A,CHIME,No,23:15:52.8,0.18,+80:19:48.0,0.061,118.82,18.23,296.0275,78.4275,90.0275,https://www.chime-frb.ca/catalog
FRB20181101A,CHIME,No,01:25:02.4,0.011,+53:52:48.0,0.16,127.93,-8.67,1472.678,144.878,161.578,https://www.chime-frb.ca/catalog
FRB20181119E,CHIME,No,01:05:26.4,0.22,+60:31:48.0,0.23,124.65,-2.29,1169.768,220.268,276.168,https://www.chime-frb.ca/catalog
FRB20181127A,CHIME,No,16:15:12.0,0.23,+25:25:48.0,0.25,42.85,44.61,930.317,32.217,29.117,https://www.chime-frb.ca/catalog
FRB20181130B,FAST,No,00:39:07.9,,+19:24:31.7,,118.9,-43.4,1705.5,38.16,29.69,https://doi.org/10.3847/2041-8213/abe7f0
FRB20181202A,CHIME,No,23:24:02.4,0.17,+17:21:36.0,0.2,94.98,-40.72,667.9546,38.7546,31.1546,https://www.chime-frb.ca/catalog
FRB20181214C,CHIME,No,11:43:43.2,0.12,+60:01:12.0,0.048,137.68,55.13,632.7849,33.2849,24.1849,https://www.chime-frb.ca/catalog
FRB20181217A,CHIME,No,19:22:00.0,0.21,+59:48:00.0,0.22,90.99,19.55,1177.1666,69.7666,68.7666,https://www.chime-frb.ca/catalog
FRB20181219C,CHIME,No,01:11:04.8,0.2,+14:06:36.0,0.23,130.13,-48.49,647.891,36.191,27.191,https://www.chime-frb.ca/catalog
FRB20181221B,CHIME,No,20:25:14.4,0.004,+80:58:48.0,0.028,113.93,23.25,1395.021,61.921,61.921,https://www.chime-frb.ca/catalog
FRB20181224C,CHIME,No,07:41:09.6,0.22,+60:16:48.0,0.21,156.69,29.4,596.325,55.325,53.125,https://www.chime-frb.ca/catalog
FRB20181230C,CHIME,No,16:23:00.0,0.22,+50:31:12.0,0.21,78.21,43.9,1037.194,36.894,29.094,https://www.chime-frb.ca/catalog
FRB20190102B,CHIME,No,01:26:38.4,0.18,+21:23:24.0,0.21,133.77,-40.74,367.1642,41.0642,31.9642,https://www.chime-frb.ca/catalog
FRB20190112A,CHIME,No,17:11:55.2,0.015,+61:12:00.0,0.026,90.49,35.45,425.8474,42.0474,35.7474,https://www.chime-frb.ca/catalog
FRB20190116C,CHIME,No,16:37:16.8,0.013,+70:57:36.0,0.025,103.22,36.26,629.27648,41.87648,35.67648,https://www.chime-frb.ca/catalog
FRB20190130B,CHIME,No,11:28:26.4,0.16,+16:03:00.0,0.072,238.61,67.8,989.0307,29.7307,21.0307,https://www.chime-frb.ca/catalog
FRB20190217A,CHIME,No,06:19:31.2,0.2,+43:06:36.0,0.2,170.78,12.79,798.1092,110.7092,147.6092,https://www.chime-frb.ca/catalog
FRB20190221A,CHIME,No,08:50:24.0,0.05,+09:54:00.0,0.26,217.6,30.89,223.806,52.906,51.106,https://www.chime-frb.ca/catalog
FRB20190308C,CHIME,No,12:33:26.4,0.026,+44:23:24.0,0.17,133.59,72.36,500.519,23.119,20.019,https://www.chime-frb.ca/catalog
FRB20190317E,CHIME,No,18:17:28.8,0.19,+13:15:00.0,0.23,41.12,13.44,800.88,134.28,104.88,https://www.chime-frb.ca/catalog
FRB20190322A,CHIME,No,07:23:00.0,0.19,+51:18:00.0,0.19,166.31,25.61,1060.118,63.618,67.118,https://www.chime-frb.ca/catalog
FRB20190322C,CHIME,No,19:45:26.4,0.14,+70:42:00.0,0.15,102.77,21.2,1192.0806,65.7806,66.1806,https://www.chime-frb.ca/catalog
FRB20190409A,CHIME,No,05:18:04.8,0.2,+06:43:12.0,0.27,195.66,-17.27,1791.8908,84.3908,125.5908,https://www.chime-frb.ca/catalog
FRB20190415A,CHIME,No,12:09:31.2,0.21,+71:16:48.0,0.23,127.71,45.46,633.681,36.981,28.981,https://www.chime-frb.ca/catalog
FRB20190421B,CHIME,No,05:29:57.6,0.076,+62:18:36.0,0.033,149.75,15.06,392.2475,96.4475,122.9475,https://www.chime-frb.ca/catalog
FRB20190429A,CHIME,No,18:44:21.6,0.24,+59:25:12.0,0.24,89.11,23.99,470.884,57.584,53.384,https://www.chime-frb.ca/catalog
FRB20190502B,CHIME,No,14:08:09.6,0.13,+64:26:24.0,0.036,109.99,50.72,918.6143,33.8143,26.3143,https://www.chime-frb.ca/catalog
FRB20190518G,CHIME,No,06:19:09.6,0.2,+75:31:12.0,0.14,138.68,24.22,524.9464,63.0464,64.7464,https://www.chime-frb.ca/catalog
