Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference
"",57,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.508122787,174.89,-0.23,,560.5,,,,,,1.6,+0.4/-0.4,>1730,1564,,0.13,,1.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",58,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.508801202,174.89,-0.23,,560.5,,,,,,3.1,+0.6/-0.6,>1730,1627,,0.16,,1.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",31,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.538497172,174.89,-0.23,,560.5,,,,,,0.6,+0.1/-0.1,>1730,1577,,0.08,,8.2E36,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",34,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.561407995,174.89,-0.23,,560.5,,,,,,1.4,+0.3/-0.3,>1730,1551,,0.1,,1.2E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",47,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.502912006,174.89,-0.23,,560.5,,,,,,1.88,+0.09/-0.09,>1730,1437,,0.37,,8.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_14.jpg,14,FRB20121102A,GBT,,Yes,S-band,1730-2600,57345.45248792516,174.89,-0.23,,568.8,+3.2/-3.2,,,0.04,,6.14,+1/-1,,,,0.2,,,,,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-4357/833/2/177
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_17.jpg,17,FRB20121102A,Arecibo,,Yes,L-wide,1150-1730,57364.204632665605,174.89,-0.23,,558.6,"+0.3/-0.3 ",,,0.03,,2.5,+0.23/-0.23,,,,0.09,,,,,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-4357/833/2/177
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_11.jpg,11,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.748287265,174.89,-0.23,,556.5,+0.1/-0.1,,,0.31,,3.06,+0.04/-0.04,,,,1,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1.jpg,1,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,56233.282837008,174.89,-0.23,,553,+5/-5,,,0.04,,3.3,+0.3/-0.3,,,,0.1,,,,,,,,,,,,,,,,"[https://iopscience.iop.org/article/10.1088/0004-637X/790/2/101, https://www.nature.com/articles/nature17168]"
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_10.jpg,10,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.747624851,174.89,-0.23,,558.7,+0.9/-0.9,,,0.05,,8,+0.5/-0.5,,,,0.2,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_19.jpg,19,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57506.802409024,174.89,-0.23,,560.5,,,,,,4.7,+0.3/-0.3,>1730,1349,,0.38,,1.3E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",24,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57513.786194552,174.89,-0.23,,560.5,,,,,,6.9,+0.4/-0.4,>1730,1222,,0.38,,1.7E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",60,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.510669046,174.89,-0.23,,560.5,,,,,,1.4,+0.2/-0.2,>1730,1513,,0.11,,1.6E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
