Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference
"",1945,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58755.013928353,174.89,-0.23,,,,568.5,,0.00512,0.000063,,,,,,0.0225,0.000316246661027026,2.403723475E37,0.033853651,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1962.jpg,1962,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58755.885100748,174.89,-0.23,,,,565.9,,0.01175,0.0001,,,,,,0.0615,0.000598749509009007,6.580682881E37,0.064095086,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1969,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58755.892226094,174.89,-0.23,,,,565.7,0.10625,0.00978,0.00106,,,,,,0.0271,0.000371,2.9E37,0.0397149,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1076,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58729.018366505,174.89,-0.23,,,,564.9,0.26875,0.75467,0.00585,,,,,,2.264,0.0001755,2.42358E39,0.018787,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1080.jpg,1080,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58729.0230824199,174.89,-0.23,,,,569,,0.00806,0.000075,,,,,,0.0527,0.00056147043243243,5.643360772E37,0.060104426,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1082,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58729.023945545,174.89,-0.23,,,,565.4,0.45625,0.07467,0.00589,,,,,,0.2352,0.00177,2.51789E38,0.189154,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1161,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.878360115,174.89,-0.23,,,,563.7,,0.00608,0.000074,,,,,,0.0438,0.000609685597999998,4.689114708E37,0.065265775,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1189,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.96002819,174.89,-0.23,,,,568.4,0.59375,0.08157,0.00453,,,,,,0.3924,0.0014,4.20006E38,0.150328,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1251,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.983653994,174.89,-0.23,,,,566.3,,0.01581,0.000118,,,,,,0.107,0.000914065399621618,1.145917693E38,0.0978491,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1267,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.990353627,174.89,-0.23,,,,567.2,,0.01118,0.000087,,,,,,0.0642,0.000571363200405403,6.870249105E37,0.06116343,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1346.jpg,1346,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.930614038,174.89,-0.23,,,,564.6,0.29375,0.11152,0.00638,,,,,,0.2665,0.00102,2.85319E38,0.109275,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1366,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58735.022414519,174.89,-0.23,,,,568.3,0.56875,0.09007,0.00405,,,,,,0.708,0.0017,7.57848E38,0.182089,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1396,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58736.972234953,174.89,-0.23,,,,567.2,,0.00412,0.00003,,,,,,0.0215,0.000179298943243243,2.303841065E37,0.019193638,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1401,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58736.979496711,174.89,-0.23,,,,564.3,0.51875,0.15177,0.00457,,,,,,0.8833,0.00128,9.45559E38,0.136979,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1402,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58736.980944444,174.89,-0.23,,,,564.3,0.30625,0.32433,0.00621,,,,,,0.9276,0.0003726,9.92962E38,0.0398862,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1403.jpg,1403,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58736.9818898329,174.89,-0.23,,,,567.2,0.625,0.04762,0.00371,,,,,,0.3491,0.00252,3.73657E38,0.270061,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1419,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58737.001616296,174.89,-0.23,,,,567.7,0.48125,0.08706,0.00443,,,,,,0.404,0.00124,4.3243E38,0.132783,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1430.jpg,1430,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.963668782,174.89,-0.23,,,,565.8,0.49375,0.00734,0.00072,,,,,,0.0424,0.0004968,4.53369E37,0.0531816,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1432,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.967416694,174.89,-0.23,,,,567.1,0.46875,0.00453,0.00064,,,,,,0.039,0.000992,4.17523E37,0.106192,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1436.jpg,1436,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.970760384,174.89,-0.23,,,,568.5,0.875,0.0077,0.00089,,,,,,0.0266,0.0004183,2.84374E37,0.0447783,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1448,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.976674605,174.89,-0.23,,,,563.8,0.39375,0.0079,0.00099,,,,,,0.0224,0.0004158,2.40173E37,0.0445107,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1461.jpg,1461,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.987937922,174.89,-0.23,,,,567.4,0.66875,0.01291,0.0024,,,,,,0.0445,0.00134,4.76788E37,0.143873,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1490,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58743.942632563,174.89,-0.23,,,,564.1,0.73125,0.01628,0.00108,,,,,,0.0668,0.000486,7.14526E37,0.0520254,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1493.jpg,1493,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58744.896120034,174.89,-0.23,,,,566,,0.0208,0.000207,,,,,,0.0591,0.000672797324675673,6.325530415E37,0.072021775,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1499.jpg,1499,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58745.927912838,174.89,-0.23,,,,564.8,0.41875,0.01595,0.00088,,,,,,0.067,0.0002464,7.17116E37,0.0263767,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1504,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58745.933246916,174.89,-0.23,,,,566.4,0.53125,0.00688,0.00067,,,,,,0.044,0.0005092,4.71355E37,0.054509,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1511,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58745.943730831,174.89,-0.23,,,,566.4,0.76875,0.00872,0.00095,,,,,,0.034,0.000475,3.6405E37,0.0508479,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1515.jpg,1515,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58745.945691388,174.89,-0.23,,,,563.3,0.83125,0.00949,0.00071,,,,,,0.0556,0.0003834,5.9531E37,0.0410423,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1534,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58746.864146548,174.89,-0.23,,,,568.7,0.54375,0.01205,0.00107,,,,,,0.0612,0.0005778,6.55285E37,0.0618525,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1544,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58746.873463045,174.89,-0.23,,,,566.7,0.45625,0.01169,0.00121,,,,,,0.0492,0.0006292,5.26837E37,0.0673548,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1577,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58746.894146547,174.89,-0.23,,,,567.2,0.36875,0.00696,0.00085,,,,,,0.0369,0.000663,3.9488E37,0.070973,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1631,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58748.93051688,174.89,-0.23,,,,566.3,,0.00257,0.000019,,,,,,0.0082,6.95401165675673E-05,8.78693248E36,0.007444148,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1669.jpg,1669,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58749.865557809,174.89,-0.23,,,,565.9,0.73125,0.01351,0.00112,,,,,,0.0466,0.0003808,4.98947E37,0.040764,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1691.jpg,1691,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58749.879543181,174.89,-0.23,,,,565.1,0.49375,0.00659,0.00098,,,,,,0.0373,0.0009996,3.99284E37,0.107005,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1727,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58750.876207023,174.89,-0.23,,,,567.2,0.89375,0.01381,0.0013,,,,,,0.0331,0.00065,3.54801E37,0.0695814,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1734,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58750.885886838,174.89,-0.23,,,,566.3,,0.00374,0.000036,,,,,,0.041,0.000451393724756755,4.387563779E37,0.048320908,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1736,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58750.889427238,174.89,-0.23,,,,566.9,0.85625,0.01071,0.00116,,,,,,0.0326,0.0004524,3.48532E37,0.0484286,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1745,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58750.895313073,174.89,-0.23,,,,566.1,0.48125,0.01738,0.00041,,,,,,0.0365,0.0002296,3.90705E37,0.0245783,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1763,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58751.899067896,174.89,-0.23,,,,569,0.75,0.00612,0.00074,,,,,,0.099,0.00213,1.06001E38,0.228141,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1787.jpg,1787,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58751.919602447,174.89,-0.23,,,,570,0.65,0.01195,0.0008,,,,,,0.0543,0.000288,5.80769E37,0.0308299,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1796,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58752.850878805,174.89,-0.23,,,,565.5,0.51875,0.0154,0.00097,,,,,,0.0494,0.0003977,5.29182E37,0.0425731,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1797,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58752.852086597,174.89,-0.23,,,,566,0.5,0.01029,0.00295,,,,,,0.0351,0.0026,3.75621E37,0.277897,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1833,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58752.874631144,174.89,-0.23,,,,563.7,0.51875,0.00865,0.00267,,,,,,0.0037,0.0004272,3.98166E36,0.045731,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1900,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58753.952891488,174.89,-0.23,,,,566.9,0.33125,0.00888,0.00083,,,,,,0.0517,0.0007968,5.53242E37,0.085296,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1979,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58755.899084578,174.89,-0.23,,,,562.8,,0.005,0.000038,,,,,,0.0417,0.000362146039945945,4.460971727E37,0.038767099,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",2000,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58756.851635011,174.89,-0.23,,,,567.2,0.49375,0.01621,0.00134,,,,,,0.0559,0.0002814,5.98662E37,0.0301234,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1077.jpg,1077,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58729.018464173,174.89,-0.23,,,,563.1,0.2125,0.16156,0.00686,,,,,,0.3554,0.0007546,3.80484E38,0.0807786,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1117,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58730.880253184,174.89,-0.23,,,,569.5,0.875,0.0387,0.00493,,,,,,0.3262,0.00631,3.49235E38,0.675517,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1119,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58730.881863367,174.89,-0.23,,,,566,,0.00551,0.000068,,,,,,0.0212,0.000298749193693693,2.265306985E37,0.031980578,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1167,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.953013997,174.89,-0.23,,,,565.7,0.46875,0.06435,0.0056,,,,,,0.2046,0.00179,2.19056E38,0.19183,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1182,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.956402432,174.89,-0.23,,,,561.5,,0.01283,0.0001,,,,,,0.1606,0.00143189559549549,1.718979439E38,0.153281916,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1198,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.963770537,174.89,-0.23,,,,567.2,,0.01043,0.000078,,,,,,0.0866,0.000740500362216214,9.266101964E37,0.079269267,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1224,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.973174915,174.89,-0.23,,,,566,,0.01185,0.000086,,,,,,0.0512,0.000425500259963962,5.484140731E37,0.045549058,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1243,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58732.979940223,174.89,-0.23,,,,567.3,0.54375,0.0741,0.00401,,,,,,0.4557,0.00156,4.87835E38,0.167413,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1283.jpg,1283,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.905846476,174.89,-0.23,,,,569.2,0.625,0.07043,0.00432,,,,,,0.5001,0.00225,5.35298E38,0.240473,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1286,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.906497217,174.89,-0.23,,,,563.9,0.75625,0.16134,0.00405,,,,,,1.5682,0.00174,1.67876E39,0.186425,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1295,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.912418802,174.89,-0.23,,,,563.6,0.35625,0.04276,0.0103,,,,,,0.1197,0.00968,1.28167E38,1.03644,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1296.jpg,1296,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.912839126,174.89,-0.23,,,,567.4,0.91875,0.08676,0.00359,,,,,,0.8667,0.00179,9.27822E38,0.192152,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1304,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.914026712,174.89,-0.23,,,,565.2,0.59375,0.11991,0.00631,,,,,,0.3813,0.00126,4.0819E38,0.135095,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1315,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.9169141449,174.89,-0.23,,,,562.7,0.39375,0.05053,0.0073,,,,,,0.1385,0.00336,1.48211E38,0.359468,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1322,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58733.918764371,174.89,-0.23,,,,567.9,0.55625,0.06527,0.00464,,,,,,0.3623,0.00213,3.87781E38,0.228484,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1357,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58735.016383897,174.89,-0.23,,,,567.3,0.49375,0.03199,0.00322,,,,,,0.4085,0.00506,4.37305E38,0.541172,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1362,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58735.019344844,174.89,-0.23,,,,564.4,0.43125,0.07251,0.00454,,,,,,0.4293,0.002,4.59514E38,0.21384,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1376,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58735.031113228,174.89,-0.23,,,,562.3,0.2125,0.13212,0.01376,,,,,,0.1242,0.00151,1.32946E38,0.162028,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1378,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58735.03187747,174.89,-0.23,,,,562.6,0.45625,0.09554,0.00802,,,,,,0.1901,0.0016,2.03525E38,0.171705,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1424.jpg,1424,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.960368449,174.89,-0.23,,,,567.9,0.35,0.00752,0.0006,,,,,,0.0646,0.000516,6.91497E37,0.0552369,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1452,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.97868801,174.89,-0.23,,,,566.4,0.79375,0.01406,0.00081,,,,,,0.0748,0.0002997,8.00712E37,0.0320824,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1460.jpg,1460,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58738.987937927,174.89,-0.23,,,,566.4,0.79375,0.02291,0.0012,,,,,,0.0451,0.000144,4.83138E37,0.0154149,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1514.jpg,1514,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58745.945343591,174.89,-0.23,,,,563.4,0.61875,0.02165,0.00107,,,,,,0.0576,0.0002461,6.1648E37,0.0263446,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1552,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58746.87735373,174.89,-0.23,,,,568,0.65625,0.01574,0.00793,,,,,,0.0595,0.00825,6.36907E37,0.882848,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1563.jpg,1563,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58746.885665464,174.89,-0.23,,,,564.5,0.58125,0.02406,0.00143,,,,,,0.0604,0.0002574,6.46471E37,0.0275542,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1584,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58747.84454902,174.89,-0.23,,,,565.8,0.46875,0.01003,0.00092,,,,,,0.0749,0.000782,8.02049E37,0.0837117,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1601,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58747.864707053,174.89,-0.23,,,,565.6,0.625,0.01141,0.001,,,,,,0.0769,0.00072,8.23237E37,0.0770747,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1649,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58748.946854378,174.89,-0.23,,,,566,,0.03924,0.0003,,,,,,0.2087,0.00182533839189189,2.233601452E38,0.195399278,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1677,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58749.869832109,174.89,-0.23,,,,563.7,0.625,0.01199,0.00152,,,,,,0.0215,0.0003952,2.29748E37,0.0423055,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1687,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58749.877465359,174.89,-0.23,,,,566,0.74375,0.01981,0.00095,,,,,,0.1034,0.000285,1.10697E38,0.0305088,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1746.jpg,1746,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58750.896008979,174.89,-0.23,,,,566,,0.00847,0.000074,,,,,,0.034,0.000339991276666665,3.640550094E37,0.036395471,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1762,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58751.897865789,174.89,-0.23,,,,565.3,0.50625,0.01258,0.00085,,,,,,0.0627,0.00034,6.7064E37,0.0363964,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1773,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58751.907347092,174.89,-0.23,,,,566,0.50625,0.00723,0.00069,,,,,,0.0445,0.0004899,4.75985E37,0.0524429,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1778,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58751.913156253,174.89,-0.23,,,,568.5,0.9875,0.01171,0.00066,,,,,,0.0799,0.0003102,8.54911E37,0.0332064,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1782,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58751.914458226,174.89,-0.23,,,,566.9,0.39375,0.00564,0.00084,,,,,,0.0215,0.0005712,2.30633E37,0.061146,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1784,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58751.91766885,174.89,-0.23,,,,565.5,0.625,0.00473,0.00049,,,,,,0.0693,0.00108,7.41279E37,0.115398,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1811,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58752.857604367,174.89,-0.23,,,,566.4,0.56875,0.01282,0.00113,,,,,,0.0565,0.0005198,6.0521E37,0.0556437,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1831,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58752.873636623,174.89,-0.23,,,,565.9,0.33125,0.02034,0.00145,,,,,,0.0279,0.0001595,2.98299E37,0.0170742,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1862.jpg,1862,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58753.933375568,174.89,-0.23,,,,565.4,0.49375,0.01126,0.00075,,,,,,0.0597,0.000315,6.38843E37,0.0337202,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1875,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58753.939182708,174.89,-0.23,,,,566.3,1.25,0.01234,0.00091,,,,,,0.0426,0.0005096,4.55737E37,0.0545518,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1901,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58754.984284333,174.89,-0.23,,,,566,,0.02719,0.000319,,,,,,0.0949,0.00127388894709009,1.015820497E38,0.136367581,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_1919.jpg,1919,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58754.992763707,174.89,-0.23,,,,567.1,0.45625,0.024,0.00142,,,,,,0.0583,0.0002414,6.24305E37,0.0258414,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1920,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58754.993669184,174.89,-0.23,,,,566.6,0.41875,0.01495,0.00129,,,,,,0.0543,0.0005418,5.80935E37,0.0579987,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1940,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58755.008639577,174.89,-0.23,,,,568.7,0.50625,0.00628,0.00081,,,,,,0.0413,0.0008343,4.41677E37,0.0893104,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1980,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58755.899126785,174.89,-0.23,,,,564.5,,0.00387,0.00003,,,,,,0.0154,0.000136600444864864,1.647418182E37,0.014622838,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
"",1083,FRB20121102A,FAST,,Yes,19-beam,"1000-1500 ",58729.024744095,174.89,-0.23,,,,569.6,0.75,0.04351,0.0039,,,,,,0.298,0.00285,3.1905E38,0.304766,,,,,,,,,,,,,https://doi.org/10.1038/s41586-021-03878-5
