tns_name,previous_name,repeater_name,ra_1,ra_1_err_low,ra_1_err_up,ra_2,ra_2_err_low,ra_2_err_up,ra_notes,dec_1,dec_1_err_low,dec_1_err_up,dec_2,dec_2_err_low,dec_2_err_up,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_90,up_ft_90,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_1_ne2001,dm_exc_2_ne2001,dm_exc_1_ymw16,dm_exc_2_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,R_cc
FRB20190226B,-9999,FRB20190226B,273.62,0.35,0.17,270.25,0.24,0.38,-9999,61.67,0.14,0.41,61.93,0.41,0.15,-9999,0.0,0.0,85,52,-9999,-9999,-9999,-9999,9.17,630.8,-9999,1.1,-9999,1.9,13.17,631.603,0.032,580.9,583.1,586.1,588.7,0.01081,<0.0080,-9999,0.38,0.19,-9999,2.38,0.70,-9999,0,58540.65834582264000,0.00000000000015,58540.65815604040000,0.00000000000022,0.00400,0.00045,29.9,6.9,-39.3,8.9,706.4,474.3,578.8,467683.775,468078,49.878,8.7e-06
FRB20200223B,-9999,FRB20200223B,8.2653,0.0076,0.0076,-9999,-9999,-9999,-9999,28.8310,0.0073,0.0073,-9999,-9999,-9999,-9999,118.08,-33.87,51.7,1.9,-9999,-9999,-9999,-9999,9.24,203.8,-9999,7.6,-9999,8.7,16.22,202.2681,0.0066,156.7,-9999,165.2,-9999,0.00393,<0.0027,-9999,0.54,0.23,-9999,1.06,0.36,-9999,0,58902.92943270689,0.00000000062,58902.92937205386,0.00000000062,0.00134,0.00012,22.7,8.4,-17.9,7.5,800.2,527.2,754.9,354151.981,360310,42.126,4.1e-05
FRB20200202A,-9999,FRB20200202A,25.928,0.016,0.016,-9999,-9999,-9999,-9999,44.2900,0.0074,0.0074,-9999,-9999,-9999,-9999,132.71,-17.59,62.1,5.5,-9999,-9999,-9999,-9999,16.16,731.1,-9999,6.1,-9999,7.7,25.39,722.279,0.074,639.0,-9999,638.2,-9999,0.03736,<0.030,-9999,0.28,0.19,-9999,5.7,2.8,-9999,0,58881.03565569521000,0.00000000000036,58881.03543910914600,0.00000000000044,0.01487,0.00084,17.0,1.8,-31.9,3.0,675.5,400.2,515.8,1398784.544,1398489,35.822,0.00028
FRB20190430C,-9999,FRB20190430C,277.2097,0.0093,0.0093,-9999,-9999,-9999,-9999,24.7699,0.0092,0.0092,-9999,-9999,-9999,-9999,53.11,15.7,29.4,7.0,-9999,-9999,-9999,-9999,22.54,399.5,-9999,11.5,-9999,13.3,32.21,400.561,0.011,301.0,-9999,316.9,-9999,0.00295,<0.0018,-9999,5.8,2.0,-9999,15.2,5.2,-9999,0,58603.495727319230000,0.000000000000030,58603.495607205270000,0.000000000000049,0.000893,0.000095,48.7,5.1,-48.8,5.1,800.2,527.8,655.2,297460.588,295102,52.6,0.00047
FRB20200420A,-9999,FRB20200420A,7.574,0.020,0.039,-9999,-9999,-9999,-9999,37.264,0.055,0.039,-9999,-9999,-9999,-9999,118.28,-25.42,55,29,-9999,-9999,-9999,-9999,17.66,676.1,-9999,0.7,-9999,1.2,33.12,672.48,-9999,614.5,-9999,622.6,-9999,0.01573,<0.0019,-9999,0.58,0.20,-9999,2.02,0.44,-9999,0,58959.774910447340000,0.000000000000026,58959.7747087944,0.0000000023,0.00301,0.00018,59.2,7.4,-130,16,572.4,438.9,501.2,356066.078,354035,43.134,0.0011
FRB20200420A,-9999,FRB20200420A,7.574,0.020,0.039,-9999,-9999,-9999,-9999,37.264,0.055,0.039,-9999,-9999,-9999,-9999,118.28,-25.42,55,29,-9999,-9999,-9999,-9999,17.66,676.1,-9999,0.7,-9999,1.2,33.12,672.48,-9999,614.5,-9999,622.6,-9999,0.01573,<0.0019,-9999,0.58,0.20,-9999,2.02,0.44,-9999,1,58959.774910564025000,0.000000000000018,58959.7747089111,0.0000000023,0.000944,0.000065,34.8,4.8,-167,22,498.0,402.4,447.7,356066.078,354035,43.134,0.0011
FRB20200127B,-9999,FRB20200127B,119.20,0.11,0.11,-9999,-9999,-9999,-9999,86.6087,0.0077,0.0077,-9999,-9999,-9999,-9999,126.62,28.03,154,13,-9999,951,18,-9999,26.61,351.0,5.3,3.7,6.4,4.4,30.56,351.27,-9999,297.3,-9999,300.6,-9999,0.00197,<0.0012,-9999,5.6,2.1,-9999,7.7,2.8,-9999,0,58875.8337259275940000,0.0000000000000097,58875.8336205942,0.0000000012,0.000609,0.000029,6.25,0.94,-17.2,1.9,652.7,400.2,436.8,360953.292,361222,41.98,0.017
FRB20201114A,-9999,FRB20201114A,221.586,0.082,0.082,-9999,-9999,-9999,-9999,71.789,0.027,0.027,-9999,-9999,-9999,-9999,111.15,42.61,135,27,-9999,83,17,-9999,11.71,322.7,66.3,6.8,79.6,8.3,24.25,320.792,0.034,282.9,-9999,290.0,-9999,0.01868,<0.0021,-9999,0.72,0.51,-9999,4.7,2.2,-9999,0,59167.799975531680000,0.000000000000091,59167.79987933744000,0.00000000000015,0.00193,0.00025,58,14,-55,13,800.2,545.1,670.9,531400.779,530654,43.176,0.018
FRB20201114A,-9999,FRB20201114A,221.586,0.082,0.082,-9999,-9999,-9999,-9999,71.789,0.027,0.027,-9999,-9999,-9999,-9999,111.15,42.61,135,27,-9999,83,17,-9999,11.71,322.7,66.3,6.8,79.6,8.3,24.25,320.792,0.034,282.9,-9999,290.0,-9999,0.01868,<0.0021,-9999,0.72,0.51,-9999,4.7,2.2,-9999,1,59167.799975599170000,0.000000000000091,59167.79987940493000,0.00000000000015,0.00121,0.00027,60,13,-61,13,784.9,531.9,646.1,531400.779,530654,43.176,0.018
FRB20201114A,-9999,FRB20201114A,221.586,0.082,0.082,-9999,-9999,-9999,-9999,71.789,0.027,0.027,-9999,-9999,-9999,-9999,111.15,42.61,135,27,-9999,83,17,-9999,11.71,322.7,66.3,6.8,79.6,8.3,24.25,320.792,0.034,282.9,-9999,290.0,-9999,0.01868,<0.0021,-9999,0.72,0.51,-9999,4.7,2.2,-9999,2,59167.799975662930000,0.000000000000089,59167.79987946869000,0.00000000000015,0.00104,0.00031,56,16,-65,19,719.1,507.7,604.3,531400.779,530654,43.176,0.018
